L1;L2;L3;L4;T1;T2;T3;T4;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;R1;R2;R3;R4;R5;R6;I1;I2;I3;I4;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;B4;B5;B6
1,267098649;0,954405949;0,001936352;0,272213259;0,959044942;0,771168515;0,66654434;125,4970169;807,9496437;0,998763829;-0,045486978;0,845425199;0,178211798;0,001237701;0,007997234;-0,181374568;-124,0432304;0,780021764;48742;2105;0,001236171;12,34604382;807,9496437;0,118644188;-0,008123032;0,029419886;-6,393349169;-6,530166271;0,058183791;0;0;0;0,730769231;117680,8919;111,4;105,9;107,2;109,2;5,2;6;387,4626729;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
1,088836591;0,491514816;0,001658244;0,517209846;2,932258393;1,113535234;0,736876571;-6,406966066;-13,04895105;1,082994777;-0,083599342;0,636342861;0,051918287;-0,076634512;-0,228222597;-0,701904496;5,381687063;2,931894955;134530;-137280;-0,082994777;10,07710577;-13,04895105;0,303066629;0,054271022;0,086115927;-0,617584499;-0,645724068;0,007813952;0;0;0;1,642857143;117680,8919;111,4;105,9;107,2;109,2;5,2;6;371,9239456;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,941419263;0,535350239;0,015041215;0,405265022;9,260127142;4,43780004;0,835741517;1,636852185;0,748657125;0,428132602;0,113391975;0,216881799;-0,013495683;1,335724949;0,730244466;-0,974034457;-0,369404421;5,606796294;307387;1247324;0,571867398;3,216387283;0,748657125;0,567077957;0,090943944;0,137031559;0,163553335;0,202483877;0,216612916;0;0;0;0,264705882;117680,8919;111,4;105,9;107,2;109,2;5,2;6;85,08877767;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
1,052389;0,376573745;0,031382592;0,675001065;4,77850202;2,172155861;1,774642126;20,76226797;11,87111684;0,922306664;0,005711733;0,834502372;0,041542381;0,084238072;0,469452866;-0,105217546;-1,130139303;1,115283019;53199;62095;0,077693336;5,982616439;11,87111684;0,070527423;0,002424914;0,074267709;0,027973267;0,088557855;0,04334405;0;0;0;1,533333333;117680,8919;111,4;105,9;107,2;109,2;5,2;6;387,4626729;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
1,657123057;0,871228061;0,083567123;0,780488619;3,188967139;1,576590471;1,080428119;4,986983495;3,89631105;0,795764609;0,006154256;0,695963965;0,275980692;0,256653021;0,671747317;-0,143399155;-0,488654997;1,222343112;31457000;133561000;0,204235391;4,621900565;3,89631105;0,085781157;0,002501073;0,058845372;0,010010407;0,049123048;0,044221862;0;0;0;1,59226846;117680,8919;111,4;105,9;107,2;109,2;5,2;6;1029,530923;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,994203551;0,828629861;0,016061525;0,163637672;5,646219686;4,712385979;2,43078431;6,52787592;1,895508428;0,65463751;0,342604618;0,47057867;-0,002743588;0,527562941;0,652339583;-0,391132987;-0,532943924;11,01788898;179228;314322;0,34536249;2,948209016;1,895508428;0,121928746;0,177952209;0,248469317;0,408377396;0,518452415;0,108677799;0;0;0;0,666666667;117680,8919;111,4;105,9;107,2;109,2;5,2;6;1447,627713;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
1,258863237;0,904173114;0,131442116;0,354488499;6,507942106;3,849051447;1,854655719;5,865497493;1,881879256;0,653004199;0,187139484;0,464879226;0,095594293;0,53138372;0,648443898;-0,40467494;-0,542153458;18,56318139;178782;573227;0,346995801;2,73602978;1,881879256;0,154822587;0,092974009;0,123926065;0,233989327;0,295085542;0,028199445;0;0;0;0,25;117680,8919;111,4;105,9;107,2;109,2;5,2;6;3206,908034;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
1,060948454;0,704408256;0,138970676;0,352039683;10,68865906;5,379967685;2,481079715;8,804078095;2,463537405;0,71127784;0,150583858;0,555367412;0,031904269;0,405920364;0,649349975;-0,280733844;-0,5400016;5,779628497;274122;387396;0,28872216;3,216397876;2,463537405;0,333554368;0,170163269;0,259543936;0,463920639;0,585169735;0,107466808;0;0;0;1,888888889;117680,8919;111,4;105,9;107,2;109,2;5,2;6;5817,301271;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
0,962872464;0,914254015;0,165123538;0,007841117;7,387512199;6,451377124;6,059458578;1050,782346;56,64896535;0,982653635;0,016211132;0,945824504;-0,036470181;0,017652573;0,320188393;-0,038938652;-2,123161306;1038,5616;9826;8022;0,017346365;1,956927425;56,64896535;0,023105622;0,023366651;0,021374112;1,339067564;1,224881576;0,004167827;0;0;0;0,071428571;117680,8919;111,4;105,9;107,2;109,2;5,2;6;44,2318531;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;1;1;0
1,316953882;0,606239836;0,021256719;0,689898988;22,39897102;10,72252331;2,629981662;3,525291154;0,238701337;0,192702898;0,18676297;0,246897917;0,059421407;4,189335556;1,071962381;0,219503752;0,067131443;16,69938299;554837;2115715;0,807297102;0,875977725;0,238701337;0,140809317;0,161346993;0,216800022;0,195168536;0,246541713;0,084619856;0;0;0;0,285714286;117680,8919;111,4;105,9;107,2;109,2;5,2;6;940,5997274;0;0;11,135;11,64666667;0,230513558;0,204003813;1424,385;-0,008215636;1166,804167;-0,175576749;97,28666667;-0,101347086;49;-0,075471698;0;0;0
